source_group,reference_regime,hardness_axis,conditioning_key,timestep,mean_normalized_l2,median_normalized_l2,mean_floor_adjusted_l2,median_floor_adjusted_l2,mean_cosine_distance,n
base_easy_control,easy_control,none,class,50,0.6921725664240325,0.6967076846814941,-0.0031025630448952507,5.551115123125783e-17,0.2809210167381058,320
base_easy_control,easy_control,none,class,200,0.49371997423559294,0.4936505140363515,-0.005130413996678707,0.0,0.1330476210449289,320
base_easy_control,easy_control,none,class,500,0.27245115348659893,0.27762866077066917,-0.012222934076756807,2.7755575615628914e-17,0.03892786047425923,320
base_easy_control,easy_control,none,class,800,0.12053537596826643,0.12409334322299576,-0.0037823343532251896,-1.3877787807814457e-17,0.00723616109338313,320
base_easy_control,easy_control,none,class,999,0.054172112347184734,0.054835106057722696,-0.0006024608038325714,3.469446951953614e-18,0.0014580707471376323,320
base_easy_control,easy_control,none,class_context,50,0.6922205426870004,0.6968168132324135,-0.003118163909857289,0.0,0.2809708642765918,320
base_easy_control,easy_control,none,class_context,200,0.4937676357670564,0.4937793654201227,-0.00513818133894388,-5.551115123125783e-17,0.13307273942129924,320
base_easy_control,easy_control,none,class_context,500,0.2724904776263279,0.2775764306981185,-0.012273240086533075,2.7755575615628914e-17,0.03894398789867117,320
base_easy_control,easy_control,none,class_context,800,0.1208627856140928,0.1241063777187563,-0.003882688968107792,-1.3877787807814457e-17,0.007274962792338323,320
base_easy_control,easy_control,none,class_context,999,0.05488417394135332,0.0558013434718489,-0.0008113607430238745,-3.469446951953614e-18,0.001498878428392434,320
base_easy_control,easy_control,none,null,50,0.6933885313852761,0.6974354864991776,-0.002990977776678369,-5.551115123125783e-17,0.2820707567448292,320
base_easy_control,easy_control,none,null,200,0.4954585579861722,0.49589507627039797,-0.005063625833063216,0.0,0.13400930368489952,320
base_easy_control,easy_control,none,null,500,0.2745475636854874,0.27914295843206327,-0.012181738680667879,0.0,0.039505910713772116,320
base_easy_control,easy_control,none,null,800,0.12433863554028812,0.12685953095004682,-0.0029308989567921055,-1.3877787807814457e-17,0.007713530172382637,320
base_easy_control,easy_control,none,null,999,0.05586454857662045,0.056572970884249146,-0.00036591459919006785,0.0,0.0015512432125434873,320
base_hard_control,hard_control,clutter_background,class,50,0.6803164297865532,0.6899107997218172,-0.014958699682374565,-0.00499434363053497,0.2712104586058759,320
base_hard_control,hard_control,clutter_background,class,200,0.4951382094541027,0.5089368714248939,-0.0037121787781689308,0.007907463559097438,0.13546013979577365,320
base_hard_control,hard_control,clutter_background,class,500,0.285984486598584,0.296057874956138,0.0013103990352282297,0.0006156641193998946,0.043697865986686076,320
base_hard_control,hard_control,clutter_background,class,800,0.1322801485091549,0.1330425304957678,0.007962438187663292,0.007481528151831389,0.008801465858205636,320
base_hard_control,hard_control,clutter_background,class,999,0.058878591807082326,0.05947724585766275,0.004104018656065023,0.004931075886667177,0.0017154337760464794,320
base_hard_control,hard_control,clutter_background,class_context,50,0.6803086894000892,0.6900095935890622,-0.015030017196768598,-0.004969002009411971,0.2712059178059611,320
base_hard_control,hard_control,clutter_background,class_context,200,0.49515296536664205,0.5089796176003262,-0.0037528517393581665,0.007802784339912272,0.13546870984797582,320
base_hard_control,hard_control,clutter_background,class_context,500,0.2860423942314133,0.29615982218985837,0.001278676518552295,0.0005253657269850276,0.043720698441556724,320
base_hard_control,hard_control,clutter_background,class_context,800,0.13253255768310773,0.13329064356995507,0.007787083100907107,0.006784904346938396,0.008830072473212712,320
base_hard_control,hard_control,clutter_background,class_context,999,0.05924628807512215,0.0598658959623858,0.0035507533907449566,0.004325434956806221,0.0017370844038530435,320
base_hard_control,hard_control,clutter_background,null,50,0.6810697298062968,0.6909366495979772,-0.015309779355657721,-0.006037286989301005,0.2718967431884024,320
base_hard_control,hard_control,clutter_background,null,200,0.4962585231175881,0.5107214360175703,-0.004263660701647253,0.006969144185584031,0.1360815697647778,320
base_hard_control,hard_control,clutter_background,null,500,0.2872351262743929,0.2975307890282679,0.000505823908237603,-0.0001677303334352842,0.044061069753114905,320
base_hard_control,hard_control,clutter_background,null,800,0.13406321642235677,0.1344931110755862,0.006793681925276536,0.005674522896045663,0.009037936490450735,320
base_hard_control,hard_control,clutter_background,null,999,0.05936045333688855,0.05979328938842985,0.0031299901610780264,0.0040471126874000035,0.0017431888990584391,320
dreambooth_hard_reference,hard_reference,clutter_background,class,50,0.7136182547642064,0.7182394333630178,0.01834312529527869,0.015827355578901248,0.30430347731479773,80
dreambooth_hard_reference,hard_reference,clutter_background,class,200,0.5187029339440108,0.521395801850448,0.019852545711739156,0.0020798780168309605,0.14760014224534848,80
dreambooth_hard_reference,hard_reference,clutter_background,class,500,0.29610503819210005,0.2987659962870084,0.011430950628744283,0.001629777455196102,0.0453075494490847,80
dreambooth_hard_reference,hard_reference,clutter_background,class,800,0.12473071760078572,0.1240388838224844,0.0004130072792940875,-0.00015258917137549177,0.007823146710722604,80
dreambooth_hard_reference,hard_reference,clutter_background,class,999,0.050898931521895605,0.0505486781412777,-0.0038756416291216888,-0.004867586110050753,0.0012997759415452087,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,50,0.7136349386341115,0.718298363690399,0.018296232037253796,0.015889496193611685,0.3043231111787961,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,200,0.5187325126881366,0.5213284213181609,0.01982669558213628,0.00207105961233478,0.14762198486891934,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,500,0.2964118213536377,0.29871602074856196,0.011648103640776713,0.0015525448274587295,0.045410838276904536,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,800,0.12482013235217644,0.12414581780145355,7.465776997583935e-05,-0.0003117844528610775,0.007833637084333708,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,999,0.051191118812752304,0.0511427683658914,-0.004504415871624891,-0.005409995182783806,0.0013143295584617362,80
dreambooth_hard_reference,hard_reference,clutter_background,null,50,0.7137570437849592,0.7184265557466124,0.017377534623004794,0.014508681950594848,0.3044498012617064,80
dreambooth_hard_reference,hard_reference,clutter_background,null,200,0.5188508030445745,0.5216733745313471,0.018328619225339144,-0.00019885683425874268,0.1476910984021524,80
dreambooth_hard_reference,hard_reference,clutter_background,null,500,0.296974876261768,0.2981190999913703,0.010245573895612665,-0.00018748751761485383,0.04559528637195662,80
dreambooth_hard_reference,hard_reference,clutter_background,null,800,0.12555181081990932,0.12470913633176914,-0.0017177236771709077,-0.005282327759986015,0.00792311861025563,80
dreambooth_hard_reference,hard_reference,clutter_background,null,999,0.05099517832764937,0.05066829633901105,-0.0052352848481611435,-0.005912260359548026,0.0013044504983846187,80
dreambooth_hard_reference,hard_reference,color_light,class,50,0.7159879145453417,0.7313409308683363,0.020712785076414098,0.03385644844472718,0.3081172753231195,160
dreambooth_hard_reference,hard_reference,color_light,class,200,0.5169836712768524,0.5298092846258334,0.018133283044580804,0.015772403770198534,0.14743133471285202,160
dreambooth_hard_reference,hard_reference,color_light,class,500,0.28475050012987074,0.2907405702845087,7.641256651498614e-05,-0.001798649735118174,0.04225958577779811,160
dreambooth_hard_reference,hard_reference,color_light,class,800,0.11679026777456167,0.1172528869712261,-0.007527442546929952,-0.006006304998495096,0.006943193959808522,160
dreambooth_hard_reference,hard_reference,color_light,class,999,0.04840710784840016,0.0489622489896369,-0.006367465302617141,-0.006346994616570376,0.0011930042206519612,160
dreambooth_hard_reference,hard_reference,color_light,class_context,50,0.7159925183608239,0.7313173538866771,0.02065381176396616,0.033844882517565344,0.30812225595466053,160
dreambooth_hard_reference,hard_reference,color_light,class_context,200,0.5170094913341723,0.5298866969658034,0.01810367422817201,0.015837154130907305,0.1474505803589045,160
dreambooth_hard_reference,hard_reference,color_light,class_context,500,0.2848344576274946,0.29113376390476475,7.073991463360692e-05,-0.0020404077658728037,0.04229262942281408,160
dreambooth_hard_reference,hard_reference,color_light,class_context,800,0.11693110777342938,0.11743497503986786,-0.007814366808771216,-0.0066261099886681385,0.006957612182150565,160
dreambooth_hard_reference,hard_reference,color_light,class_context,999,0.04862632280122429,0.048878845355150496,-0.007069211883152909,-0.00713435860778143,0.0012045253407508652,160
dreambooth_hard_reference,hard_reference,color_light,null,50,0.7161205089686942,0.7314577484522424,0.019740999806739774,0.03300195332502981,0.30825858236410847,160
dreambooth_hard_reference,hard_reference,color_light,null,200,0.5172332605164878,0.5299689571395673,0.016711076697252338,0.014576544933077834,0.14758424866500025,160
dreambooth_hard_reference,hard_reference,color_light,null,500,0.28598235503951286,0.29232039740261784,-0.0007469473266424329,-0.0041644973933254725,0.04263644128290447,160
dreambooth_hard_reference,hard_reference,color_light,null,800,0.1175001528234543,0.11751358354169389,-0.009769381673625928,-0.006900535064764762,0.007028799495906482,160
dreambooth_hard_reference,hard_reference,color_light,null,999,0.04850795824939106,0.04869124771594795,-0.00772250492641946,-0.007559887102327648,0.0011974229265197,160
dreambooth_hard_reference,hard_reference,crop,class,50,0.7019486216015154,0.7179952617811527,0.006673492132587762,0.008990758025845813,0.29261519012086085,160
dreambooth_hard_reference,hard_reference,crop,class,200,0.5073077996024176,0.5087289993213013,0.008457411370145908,0.0019304190442999414,0.1410037921543675,160
dreambooth_hard_reference,hard_reference,crop,class,500,0.2826404311429726,0.28577547815521853,-0.0020336564203831493,-0.012775151452479455,0.04133929207475182,160
dreambooth_hard_reference,hard_reference,crop,class,800,0.11723674919529484,0.11742352134260944,-0.007080961126196786,-0.008499219901120257,0.006926922912266051,160
dreambooth_hard_reference,hard_reference,crop,class,999,0.04847968250627237,0.048266159838366296,-0.006294890644744935,-0.0071952104351103476,0.0011813379704113925,160
dreambooth_hard_reference,hard_reference,crop,class_context,50,0.7018590608450712,0.717963500537574,0.0065203542482135555,0.009020198066676643,0.2925161054736959,160
dreambooth_hard_reference,hard_reference,crop,class_context,200,0.507301472249169,0.5088172885596184,0.008395655143168765,0.0018038869786416722,0.1410017247180673,160
dreambooth_hard_reference,hard_reference,crop,class_context,500,0.2827891577112289,0.2855832590572097,-0.0019745600016320606,-0.011212431043090776,0.04138090056939747,160
dreambooth_hard_reference,hard_reference,crop,class_context,800,0.11726738155164118,0.1173490706426022,-0.007478093030559428,-0.008436633678591536,0.006930179766096672,160
dreambooth_hard_reference,hard_reference,crop,class_context,999,0.0486189912457773,0.048594574512472705,-0.0070765434385998945,-0.007763669067928729,0.0011882105854502576,160
dreambooth_hard_reference,hard_reference,crop,null,50,0.7020547527148946,0.7179252438355395,0.005675243552940185,0.008163583003259645,0.29271674037403295,160
dreambooth_hard_reference,hard_reference,crop,null,200,0.5075573457839708,0.5090071367892693,0.007035161964735415,6.855269456215729e-05,0.14114220687557175,160
dreambooth_hard_reference,hard_reference,crop,null,500,0.28349985652512044,0.2875122176457914,-0.0032294458410348703,-0.013703853452644965,0.04158926836766923,160
dreambooth_hard_reference,hard_reference,crop,null,800,0.11788019166376984,0.1183426091172454,-0.009389342833310386,-0.010683235863474201,0.007000255555763804,160
dreambooth_hard_reference,hard_reference,crop,null,999,0.048775704142847195,0.048715839970302946,-0.007454759032963323,-0.0078990992397046,0.001195485063955635,160
dreambooth_hard_reference,hard_reference,high_frequency,class,50,0.6419630952619795,0.6224058184541605,-0.05331203420694817,-0.07110019371801574,0.24016418109141738,80
dreambooth_hard_reference,hard_reference,high_frequency,class,200,0.48270067672527334,0.47441366509376093,-0.016149711506998288,-0.03636044478632933,0.12686988376992875,80
dreambooth_hard_reference,hard_reference,high_frequency,class,500,0.2979977156266159,0.30053597404481025,0.013323628063260182,0.00670824589783986,0.0457386596817075,80
dreambooth_hard_reference,hard_reference,high_frequency,class,800,0.1278650523704069,0.12671469977146954,0.0035473420489152896,0.004107650788010925,0.008223556917320313,80
