subject_id,image_id,image_path,source_group,reference_regime,hardness_axis,source_standard_image,variant_id,transform_parameters,class_name,class_prompt,class_context_prompt,conditioning_key,conditioning_prompt
dog,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/00.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,class,a photo of a dog
dog,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/01.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,class,a photo of a dog
dog,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/02.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,class,a photo of a dog
dog,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/03.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,class,a photo of a dog
dog,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/04.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,class,a photo of a dog
cat,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/00.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,class,a photo of a cat
cat,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/01.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,class,a photo of a cat
cat,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/02.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,class,a photo of a cat
cat,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/03.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,class,a photo of a cat
cat,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/04.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,class,a photo of a cat
backpack,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/01.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/02.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/03.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/04.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,05,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/05.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
vase,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/00.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class,a photo of a vase
vase,01,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/01.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class,a photo of a vase
vase,02,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/02.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class,a photo of a vase
vase,03,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/03.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class,a photo of a vase
vase,04,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/04.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class,a photo of a vase
vase,05,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/05.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class,a photo of a vase
