subject_id,class_name,image_id,image_path,roundtrip_image_path,source_group,reference_regime,hardness_axis,conditioning_key,conditioning_prompt,source_dataset,source_license_note
dog,dog,seed_0000,data/cache/off_prior_measurement_v0/generated_controls/dog/easy/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0000.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
dog,dog,seed_0001,data/cache/off_prior_measurement_v0/generated_controls/dog/easy/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0001.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
dog,dog,seed_0002,data/cache/off_prior_measurement_v0/generated_controls/dog/easy/seed_0002.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0002.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
dog,dog,seed_0003,data/cache/off_prior_measurement_v0/generated_controls/dog/easy/seed_0003.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/dog/seed_0003.png,base_generated_control,easy_control,none,class,a photo of a dog,base_generated_control,generated or local project artifact
cat,cat,seed_0000,data/cache/off_prior_measurement_v0/generated_controls/cat/easy/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/cat/seed_0000.png,base_generated_control,easy_control,none,class,a photo of a cat,base_generated_control,generated or local project artifact
cat,cat,seed_0001,data/cache/off_prior_measurement_v0/generated_controls/cat/easy/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/cat/seed_0001.png,base_generated_control,easy_control,none,class,a photo of a cat,base_generated_control,generated or local project artifact
cat,cat,seed_0002,data/cache/off_prior_measurement_v0/generated_controls/cat/easy/seed_0002.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/cat/seed_0002.png,base_generated_control,easy_control,none,class,a photo of a cat,base_generated_control,generated or local project artifact
cat,cat,seed_0003,data/cache/off_prior_measurement_v0/generated_controls/cat/easy/seed_0003.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/cat/seed_0003.png,base_generated_control,easy_control,none,class,a photo of a cat,base_generated_control,generated or local project artifact
backpack,backpack,seed_0000,data/cache/off_prior_measurement_v0/generated_controls/backpack/easy/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/backpack/seed_0000.png,base_generated_control,easy_control,none,class,a photo of a backpack,base_generated_control,generated or local project artifact
backpack,backpack,seed_0001,data/cache/off_prior_measurement_v0/generated_controls/backpack/easy/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/backpack/seed_0001.png,base_generated_control,easy_control,none,class,a photo of a backpack,base_generated_control,generated or local project artifact
backpack,backpack,seed_0002,data/cache/off_prior_measurement_v0/generated_controls/backpack/easy/seed_0002.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/backpack/seed_0002.png,base_generated_control,easy_control,none,class,a photo of a backpack,base_generated_control,generated or local project artifact
backpack,backpack,seed_0003,data/cache/off_prior_measurement_v0/generated_controls/backpack/easy/seed_0003.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/backpack/seed_0003.png,base_generated_control,easy_control,none,class,a photo of a backpack,base_generated_control,generated or local project artifact
vase,vase,seed_0000,data/cache/off_prior_measurement_v0/generated_controls/vase/easy/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/vase/seed_0000.png,base_generated_control,easy_control,none,class,a photo of a vase,base_generated_control,generated or local project artifact
vase,vase,seed_0001,data/cache/off_prior_measurement_v0/generated_controls/vase/easy/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/vase/seed_0001.png,base_generated_control,easy_control,none,class,a photo of a vase,base_generated_control,generated or local project artifact
vase,vase,seed_0002,data/cache/off_prior_measurement_v0/generated_controls/vase/easy/seed_0002.png,data/cache/off_prior_measurement_v0/source_decomp_stage15a_roundtrip/base_generated_control/vase/seed_0002.png,base_generated_control,easy_control,none,class,a photo of a vase,base_generated_control,generated or local project artifact
