subject_id,class_name,image_id,image_path,roundtrip_image_path,source_group,reference_regime,hardness_axis,conditioning_key,conditioning_prompt,source_dataset,source_license_note
dog,dog,dog_clean_object_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_clean_object_00/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_clean_object_00_seed_0000.png,base_generated_control,prompt_matched_generated,clean_object,prompt_matched,a photo of a dog standing outdoors on pavement,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog,dog_clean_object_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_clean_object_00/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_clean_object_00_seed_0001.png,base_generated_control,prompt_matched_generated,clean_object,prompt_matched,a photo of a dog standing outdoors on pavement,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog,dog_matched_closeup_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_matched_closeup_00/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_matched_closeup_00_seed_0000.png,base_generated_control,prompt_matched_generated,matched_closeup,prompt_matched,a close-up photo of a dog near a bowl,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog,dog_matched_closeup_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_matched_closeup_00/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_matched_closeup_00_seed_0001.png,base_generated_control,prompt_matched_generated,matched_closeup,prompt_matched,a close-up photo of a dog near a bowl,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog,dog_cluttered_scene_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_cluttered_scene_00/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_cluttered_scene_00_seed_0000.png,base_generated_control,prompt_matched_generated,cluttered_scene,prompt_matched,a photo of a dog in a cluttered indoor room,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog,dog_cluttered_scene_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_cluttered_scene_00/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_cluttered_scene_00_seed_0001.png,base_generated_control,prompt_matched_generated,cluttered_scene,prompt_matched,a photo of a dog in a cluttered indoor room,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog,dog_background_heavy_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_background_heavy_00/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_background_heavy_00_seed_0000.png,base_generated_control,prompt_matched_generated,background_heavy,prompt_matched,a photo of a dog looking out of a car window,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog,dog_background_heavy_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_background_heavy_00/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/dog/dog_background_heavy_00_seed_0001.png,base_generated_control,prompt_matched_generated,background_heavy,prompt_matched,a photo of a dog looking out of a car window,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat,cat_matched_closeup_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_matched_closeup_00/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/cat/cat_matched_closeup_00_seed_0000.png,base_generated_control,prompt_matched_generated,matched_closeup,prompt_matched,a close-up photo of a cat lying on a bed,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat,cat_matched_closeup_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_matched_closeup_00/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/cat/cat_matched_closeup_00_seed_0001.png,base_generated_control,prompt_matched_generated,matched_closeup,prompt_matched,a close-up photo of a cat lying on a bed,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat,cat_clean_object_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_clean_object_00/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/cat/cat_clean_object_00_seed_0000.png,base_generated_control,prompt_matched_generated,clean_object,prompt_matched,a photo of a cat sitting in a bathroom sink,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat,cat_clean_object_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_clean_object_00/seed_0001.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/cat/cat_clean_object_00_seed_0001.png,base_generated_control,prompt_matched_generated,clean_object,prompt_matched,a photo of a cat sitting in a bathroom sink,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat,cat_cluttered_scene_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_cluttered_scene_00/seed_0000.png,data/cache/off_prior_measurement_v0/source_decomp_stage15b_prompt_matched_roundtrip/base_generated_control/cat/cat_cluttered_scene_00_seed_0000.png,base_generated_control,prompt_matched_generated,cluttered_scene,prompt_matched,a photo of a cat sitting beside a laptop on a desk,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
