source_group,conditioning_key,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,mean_dct_artifact_low,mean_dct_artifact_mid,mean_dct_artifact_high,n
base_generated_control,prompt_matched,50,0.13028829057300495,0.6894739008194958,0.9810447898139302,0.017211504150793772,0.017380811678972267,0.017252652816688648,0.5810936039309615,0.4743747646871606,0.46042025266126946,160
base_generated_control,prompt_matched,200,0.09007173539790952,0.49851307741577483,0.9819667633775122,0.01085886655532914,0.008757053837070303,0.007901153371687834,0.38165421586196724,0.2536072031396176,0.2432740542709469,160
base_generated_control,prompt_matched,500,0.04732594329373718,0.2772570659405265,0.9823248383739795,0.004318576065193287,0.00250929012795202,0.002083223637434751,0.21526224334738658,0.08510999396786016,0.0712136850017471,160
base_generated_control,prompt_matched,800,0.018784267502940297,0.12724315590531454,0.9880682708936913,0.0010671289965624644,0.0004014512825076681,0.00030687755440334685,0.11591056005760099,0.018204388481132698,0.010939098861066227,160
base_generated_control,prompt_matched,999,0.007013370896934415,0.05603895875931155,0.991828384861561,0.00021483066717666873,5.375689599215422e-05,4.049715546149562e-05,0.03981520882435319,0.002912436351985181,0.0014960796569594898,160
ordinary_real_control,prompt_matched,50,0.16224602830826418,0.7209410761511925,0.9736877499009651,0.024013189656157664,0.026228213448432493,0.026764266753735704,0.6274143931782014,0.498609074453839,0.4897480189418184,80
ordinary_real_control,prompt_matched,200,0.10821745458546299,0.5397115831830501,0.9792205283146707,0.014243239848018618,0.012251791540235115,0.01151569350118275,0.42579793639323854,0.2798666508114168,0.2764628496758563,80
ordinary_real_control,prompt_matched,500,0.057519166820388455,0.3129144880726694,0.9826081354818278,0.005317156431890452,0.003496442529730711,0.003195667585764553,0.2705322787977902,0.10119857808901145,0.08534995029131133,80
ordinary_real_control,prompt_matched,800,0.022169665653613238,0.12890902696355888,0.9847698139223654,0.001098651681854025,0.0005344289725888213,0.00046243296474882497,0.12580750775874588,0.016673995549441933,0.010966485710685545,80
ordinary_real_control,prompt_matched,999,0.008107258429559736,0.05254874928438184,0.9877426064778678,0.00020906413490499485,7.029772976509005e-05,5.918656475714766e-05,0.03466625923219566,0.0022176221127630626,0.0013923015571860636,80
