experiment_label,class_name,conditioning_key,timestep,frequency_band,base_generated_control,ordinary_real_control,dreambooth_reference,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15b_prompt_matched,backpack,prompt_matched,50,high,0.016710351160899778,0.02899993803117549,,,0.01228958687027571,,
stage15b_prompt_matched,backpack,prompt_matched,50,low,0.016185788591214105,0.026583462065014517,,,0.010397673473800412,,
stage15b_prompt_matched,backpack,prompt_matched,50,mid,0.016455804012587727,0.028214135638532922,,,0.011758331625945195,,
stage15b_prompt_matched,backpack,prompt_matched,200,high,0.0076977965123403,0.012514445234321436,,,0.004816648721981136,,
stage15b_prompt_matched,backpack,prompt_matched,200,low,0.009900140190479897,0.015722534938411015,,,0.005822394747931118,,
stage15b_prompt_matched,backpack,prompt_matched,200,mid,0.00829119913143837,0.013232159546793151,,,0.004940960415354781,,
stage15b_prompt_matched,backpack,prompt_matched,500,high,0.0020706428680592652,0.003292397484894465,,,0.0012217546168352,,
stage15b_prompt_matched,backpack,prompt_matched,500,low,0.003884473635461708,0.00471397358900098,,,0.0008294999535392719,,
stage15b_prompt_matched,backpack,prompt_matched,500,mid,0.0025840410297219424,0.0033324510519981247,,,0.0007484100222761823,,
stage15b_prompt_matched,backpack,prompt_matched,800,high,0.00030240754221577,0.00045850138930282993,,,0.00015609384708705995,,
stage15b_prompt_matched,backpack,prompt_matched,800,low,0.00104170512475628,0.00087297817091667,,,-0.00016872695383960995,,
stage15b_prompt_matched,backpack,prompt_matched,800,mid,0.0004556167763832725,0.00043028101514233,,,-2.5335761240942488e-05,,
stage15b_prompt_matched,backpack,prompt_matched,999,high,3.95300351725971e-05,5.8418104188883055e-05,,,1.8888069016285958e-05,,
stage15b_prompt_matched,backpack,prompt_matched,999,low,0.00020706471811857502,0.00016722000955517,,,-3.9844708563405005e-05,,
stage15b_prompt_matched,backpack,prompt_matched,999,mid,6.096769467844413e-05,5.543377011816129e-05,,,-5.533924560282842e-06,,
stage15b_prompt_matched,cat,prompt_matched,50,high,0.019308072220950823,0.026491105114874403,,,0.00718303289392358,,
stage15b_prompt_matched,cat,prompt_matched,50,low,0.020754915228514782,0.026462673836131906,,,0.0057077586076171236,,
stage15b_prompt_matched,cat,prompt_matched,50,mid,0.019645450637603805,0.027353782129284042,,,0.007708331491680237,,
