class_name,conditioning_key,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
backpack,class,0.05769597618777355,0.06598279922321025,0.07565943635275515,,0.017963460164981605,-0.009676637129544904,
backpack,class_context,0.05772130933558204,0.06596477882534595,,,,,
backpack,null,0.057772467612332665,0.06605506652083223,,,,,
cat,class,0.059336953769054776,0.05524000650782671,0.0680911110935543,,0.008754157324499523,-0.012851104585727587,
cat,class_context,0.059357709025889334,0.055244476160122354,,,,,
cat,null,0.059768348395820785,0.05520563396394374,,,,,
dog,class,0.05829157691621392,0.18664736829282091,0.06898025903995447,,0.01068868212374055,0.11766710925286644,
dog,class_context,0.05833736826589067,0.18663843058792282,,,,,
dog,null,0.05842882214552346,0.18709893458240995,,,,,
vase,class,0.055903523562147416,0.06649098174818888,0.07258388773208627,,0.01668036416993885,-0.00609290598389739,
vase,class_context,0.05591494122235914,0.06647600717490408,,,,,
vase,null,0.056023245922727574,0.06651044160139992,,,,,
