run,kind,num_images,mean_distance_to_base,mean_distance_to_vanilla,mean_pairwise_diversity
cfg_gate_alpha025,class,4,28.377631,17.031442,66.130461
cfg_gate_alpha025,subject,4,30.666245,24.056075,79.402718
cfg_gate_alpha05,class,4,26.386013,19.745178,62.281804
cfg_gate_alpha05,subject,4,31.776207,28.344733,76.150916
cfg_gate_alpha060,class,4,19.351647,24.290192,49.578144
cfg_gate_alpha060,subject,4,31.678837,28.698082,72.828119
cfg_gate_alpha065,class,4,17.756291,24.834547,49.991932
cfg_gate_alpha065,subject,4,31.275381,29.121839,75.551169
cfg_gate_alpha070,class,4,26.337415,23.775132,62.253327
cfg_gate_alpha070,subject,4,30.229508,28.751222,75.424887
cfg_gate_alpha075,class,4,22.674422,25.360604,53.011725
cfg_gate_alpha075,subject,4,32.371463,31.359555,74.490204
cfg_gate_alpha100,class,4,27.977890,28.113610,63.899724
cfg_gate_alpha100,subject,4,32.510639,32.672813,74.327389
residual_gate_q75_keep05,class,4,21.649485,22.365881,59.635657
residual_gate_q75_keep05,subject,4,20.585825,23.435384,84.428234
residual_gate_q90_keep05,class,4,24.068435,19.940330,63.844131
residual_gate_q90_keep05,subject,4,22.528483,20.808553,84.743554
vanilla,class,4,29.156358,0.000000,66.500793
vanilla,subject,4,31.143773,0.000000,86.785303
